date,USD,EUR
1/1/2020,5.94,6.6621
1/2/2020,5.94,6.6621
1/3/2020,5.9478,6.663
1/4/2020,5.9478,6.663
1/5/2020,5.9478,6.663
1/6/2020,5.9627,6.6464
1/7/2020,5.9658,6.6718
1/8/2020,5.9594,6.6628
1/9/2020,5.9571,6.6355
1/10/2020,5.881,6.5336
1/11/2020,5.881,6.5336
1/12/2020,5.881,6.5336
1/13/2020,5.8713,6.517
1/14/2020,5.8529,6.5096
1/15/2020,5.8811,6.5495
1/16/2020,5.8827,6.5504
1/17/2020,5.8684,6.5458
1/18/2020,5.8684,6.5458
1/19/2020,5.8684,6.5458
1/20/2020,5.8564,6.5172
1/21/2020,5.8979,6.5412
1/22/2020,5.9191,6.568
1/23/2020,5.9293,6.5723
1/24/2020,5.9152,6.5585
1/25/2020,5.9152,6.5585
1/26/2020,5.9152,6.5585
1/27/2020,5.9288,6.5473
1/28/2020,5.9371,6.5471
1/29/2020,5.9334,6.5369
1/30/2020,5.9405,6.5371
1/31/2020,5.9716,6.5782
2/1/2020,5.9716,6.5782
2/2/2020,5.9716,6.5782
2/3/2020,5.9726,6.5864
2/4/2020,5.9755,6.6154
2/5/2020,5.9714,6.6017
2/6/2020,5.976,6.5918
2/7/2020,5.9783,6.5761
2/8/2020,5.9783,6.5761
2/9/2020,5.9783,6.5761
2/10/2020,5.9776,6.5518
2/11/2020,5.9951,6.5644
2/12/2020,6.0271,6.5777
2/13/2020,6.0215,6.5729
2/14/2020,6.0459,6.5754
2/15/2020,6.0459,6.5754
2/16/2020,6.0459,6.5754
2/17/2020,6.047,6.555
2/18/2020,6.0351,6.5435
2/19/2020,6.0578,6.5596
2/20/2020,6.0581,6.5428
2/21/2020,6.0824,6.5654
2/22/2020,6.0824,6.5654
2/23/2020,6.0824,6.5654
2/24/2020,6.1023,6.5922
2/25/2020,6.1383,6.6409
2/26/2020,6.1218,6.6416
2/27/2020,6.1463,6.689
2/28/2020,6.1593,6.7344
2/29/2020,6.1593,6.7344
3/1/2020,6.1593,6.7344
3/2/2020,6.2259,6.8592
3/3/2020,6.2192,6.8903
3/4/2020,6.1943,6.8889
3/5/2020,6.0904,6.7927
3/6/2020,6.0772,6.778
3/7/2020,6.0772,6.778
3/8/2020,6.0772,6.778
3/9/2020,6.0821,6.8604
3/10/2020,6.1098,6.9735
3/11/2020,6.1151,6.9455
3/12/2020,6.1502,6.9669
3/13/2020,6.2264,7.0139
3/14/2020,6.2264,7.0139
3/15/2020,6.2264,7.0139
3/16/2020,6.2711,7.0099
3/17/2020,6.3628,7.1143
3/18/2020,6.4528,7.1564
3/19/2020,6.4512,7.0871
3/20/2020,6.5154,7.055
3/21/2020,6.5154,7.055
3/22/2020,6.5154,7.055
3/23/2020,6.4839,6.9737
3/24/2020,6.5864,7.0484
3/25/2020,6.4943,7.0455
3/26/2020,6.4024,6.9271
3/27/2020,6.456,7.061
3/28/2020,6.456,7.061
3/29/2020,6.456,7.061
3/30/2020,6.4346,7.0896
3/31/2020,6.516,7.215
4/1/2020,6.5696,7.2107
4/2/2020,6.6428,7.2756
4/3/2020,6.6672,7.2849
4/4/2020,6.6672,7.2849
4/5/2020,6.6672,7.2849
4/6/2020,6.6903,7.2279
4/7/2020,6.7549,7.299
4/8/2020,6.7375,7.3253
4/9/2020,6.7705,7.3544
4/10/2020,6.7382,7.3235
4/11/2020,6.7382,7.3235
4/12/2020,6.7382,7.3235
4/13/2020,6.6877,7.3176
4/14/2020,6.7618,7.3954
4/15/2020,6.7752,7.4118
4/16/2020,6.8505,7.4871
4/17/2020,6.9073,7.5145
4/18/2020,6.9073,7.5145
4/19/2020,6.9073,7.5145
4/20/2020,6.913,7.4906
4/21/2020,6.9082,7.5077
4/22/2020,6.9593,7.5398
4/23/2020,6.9593,7.5398
4/24/2020,6.9708,7.5729
4/25/2020,6.9708,7.5729
4/26/2020,6.9708,7.5729
4/27/2020,6.9589,7.4903
4/28/2020,6.9675,7.559
4/29/2020,6.9881,7.5877
4/30/2020,6.9787,7.5764
5/1/2020,6.9787,7.5764
5/2/2020,6.9787,7.5764
5/3/2020,6.9787,7.5764
5/4/2020,6.9719,7.5827
5/5/2020,7.0151,7.6739
5/6/2020,7.055,7.6624
5/7/2020,7.1334,7.7112
5/8/2020,7.2209,7.7944
5/9/2020,7.2209,7.7944
5/10/2020,7.2209,7.7944
5/11/2020,7.096,7.6894
5/12/2020,7.0676,7.6509
5/13/2020,7.0121,7.5922
5/14/2020,6.9789,7.5735
5/15/2020,6.9543,7.5122
5/16/2020,6.9543,7.5122
5/17/2020,6.9543,7.5122
5/18/2020,6.9041,7.4624
5/19/2020,6.9041,7.4624
5/20/2020,6.8596,7.4185
5/21/2020,6.7841,7.428
5/22/2020,6.7883,7.4499
5/23/2020,6.7883,7.4499
5/24/2020,6.7883,7.4499
5/25/2020,6.7883,7.4499
5/26/2020,6.7883,7.4499
5/27/2020,6.7917,7.4065
5/28/2020,6.7607,7.4299
5/29/2020,6.7894,7.4738
5/30/2020,6.7894,7.4738
5/31/2020,6.7894,7.4738
6/1/2020,6.8138,7.577
6/2/2020,6.8059,7.5724
6/3/2020,6.7817,7.5654
6/4/2020,6.7308,7.5439
6/5/2020,6.7476,7.5677
6/6/2020,6.7476,7.5677
6/7/2020,6.7476,7.5677
6/8/2020,6.7573,7.6644
6/9/2020,6.7714,7.6448
6/10/2020,6.7828,7.6453
6/11/2020,6.7777,7.7032
6/12/2020,6.7827,7.7125
6/13/2020,6.7827,7.7125
6/14/2020,6.7827,7.7125
6/15/2020,6.8142,7.7097
6/16/2020,6.822,7.6741
6/17/2020,6.8254,7.7306
6/18/2020,6.8333,7.6884
6/19/2020,6.845,7.6992
6/20/2020,6.845,7.6992
6/21/2020,6.845,7.6992
6/22/2020,6.844,7.6739
6/23/2020,6.8422,7.6713
6/24/2020,6.844,7.7278
6/25/2020,6.8452,7.7363
6/26/2020,6.8434,7.6796
6/27/2020,6.8434,7.6796
6/28/2020,6.8434,7.6796
6/29/2020,6.8417,7.6776
6/30/2020,6.8422,7.7082
7/1/2020,6.8432,7.672
7/2/2020,6.8432,7.6774
7/3/2020,6.8428,7.7211
7/4/2020,6.8428,7.7211
7/5/2020,6.8428,7.7211
7/6/2020,6.8422,7.6859
7/7/2020,6.8467,7.7356
7/8/2020,6.8519,7.73
7/9/2020,6.8523,7.7308
7/10/2020,6.853,7.7688
7/11/2020,6.853,7.7688
7/12/2020,6.853,7.7688
7/13/2020,6.8514,7.7309
7/14/2020,6.8528,7.76
7/15/2020,6.8528,7.76
7/16/2020,6.8524,7.7815
7/17/2020,6.845,7.8021
7/18/2020,6.845,7.8021
7/19/2020,6.845,7.8021
7/20/2020,6.8439,7.8083
7/21/2020,6.8438,7.8391
7/22/2020,6.8429,7.8296
7/23/2020,6.8372,7.893
7/24/2020,6.8348,7.9191
7/25/2020,6.8348,7.9191
7/26/2020,6.8348,7.9191
7/27/2020,6.8353,7.9298
7/28/2020,6.8364,8.0074
7/29/2020,6.8846,8.07
7/30/2020,6.9372,8.1481
7/31/2020,6.9372,8.1481
8/1/2020,6.9372,8.1481
8/2/2020,6.9372,8.1481
8/3/2020,6.9372,8.1481
8/4/2020,6.9372,8.1481
8/5/2020,6.9334,8.1676
8/6/2020,6.9872,8.2718
8/7/2020,7.1593,8.486
8/8/2020,7.1593,8.486
8/9/2020,7.1593,8.486
8/10/2020,7.2661,8.5939
8/11/2020,7.2996,8.585
8/12/2020,7.2483,8.5299
8/13/2020,7.2865,8.5658
8/14/2020,7.3147,8.6564
8/15/2020,7.3147,8.6564
8/16/2020,7.3147,8.6564
8/17/2020,7.3445,8.671
8/18/2020,7.3677,8.7328
8/19/2020,7.3679,8.7678
8/20/2020,7.3477,8.771
8/21/2020,7.2952,8.6389
8/22/2020,7.2952,8.6389
8/23/2020,7.2952,8.6389
8/24/2020,7.2156,8.5281
8/25/2020,7.3372,8.6764
8/26/2020,7.3674,8.708
8/27/2020,7.3459,8.6755
8/28/2020,7.3174,8.6521
8/29/2020,7.3174,8.6521
8/30/2020,7.3174,8.6521
8/31/2020,7.305,8.6897
9/1/2020,7.3261,8.7284
9/2/2020,7.3421,8.7979
9/3/2020,7.3563,8.7321
9/4/2020,7.3994,8.7435
9/5/2020,7.3994,8.7435
9/6/2020,7.3994,8.7435
9/7/2020,7.4133,8.7822
9/8/2020,7.4349,8.7938
9/9/2020,7.4537,8.7994
9/10/2020,7.467,8.7855
9/11/2020,7.4553,8.8228
9/12/2020,7.4553,8.8228
9/13/2020,7.4553,8.8228
9/14/2020,7.4396,8.8172
9/15/2020,7.4689,8.858
9/16/2020,7.4668,8.8759
9/17/2020,7.4678,8.8606
9/18/2020,7.5152,8.8648
9/19/2020,7.5152,8.8648
9/20/2020,7.5152,8.8648
9/21/2020,7.5344,8.9295
9/22/2020,7.572,8.943
9/23/2020,7.6251,8.9553
9/24/2020,7.657,8.959
9/25/2020,7.663,8.9277
9/26/2020,7.663,8.9277
9/27/2020,7.663,8.9277
9/28/2020,7.5546,8.805
9/29/2020,7.7507,9.0268
9/30/2020,7.808,9.1281
10/1/2020,7.7522,9.0835
10/2/2020,7.6946,9.0376
10/3/2020,7.6946,9.0376
10/4/2020,7.6946,9.0376
10/5/2020,7.7288,9.0598
10/6/2020,7.7307,9.0815
10/7/2020,7.7452,9.1257
10/8/2020,7.8267,9.2058
10/9/2020,7.8931,9.2859
10/10/2020,7.8931,9.2859
10/11/2020,7.8931,9.2859
10/12/2020,7.9072,9.3242
10/13/2020,7.8673,9.2889
10/14/2020,7.8778,9.2866
10/15/2020,7.9205,9.2986
10/16/2020,7.9116,9.2724
10/17/2020,7.9116,9.2724
10/18/2020,7.9116,9.2724
10/19/2020,7.9129,9.2692
10/20/2020,7.8778,9.253
10/21/2020,7.8761,9.2874
10/22/2020,7.8179,9.2677
10/23/2020,7.8025,9.2387
10/24/2020,7.8025,9.2387
10/25/2020,7.8025,9.2387
10/26/2020,7.9379,9.3941
10/27/2020,8.0285,9.4924
10/28/2020,8.1211,9.5974
10/29/2020,8.1211,9.5974
10/30/2020,8.1211,9.5974
10/31/2020,8.1211,9.5974
11/1/2020,8.1211,9.5974
11/2/2020,8.3082,9.6985
11/3/2020,8.376,9.7506
11/4/2020,8.4546,9.8802
11/5/2020,8.4553,9.8715
11/6/2020,8.4417,9.9416
11/7/2020,8.4417,9.9416
11/8/2020,8.4417,9.9416
11/9/2020,8.4613,10.0279
11/10/2020,8.1778,9.7173
11/11/2020,8.2358,9.7278
11/12/2020,8.0477,9.4921
11/13/2020,7.7896,9.1861
11/14/2020,7.7896,9.1861
11/15/2020,7.7896,9.1861
11/16/2020,7.6297,9.0169
11/17/2020,7.6751,9.093
11/18/2020,7.7393,9.1836
11/19/2020,7.7195,9.1701
11/20/2020,7.6699,9.0783
11/21/2020,7.6699,9.0783
11/22/2020,7.6699,9.0783
11/23/2020,7.5785,8.995
11/24/2020,7.7593,9.2197
11/25/2020,7.917,9.3956
11/26/2020,7.9415,9.4499
11/27/2020,7.8945,9.4067
11/28/2020,7.8945,9.4067
11/29/2020,7.8945,9.4067
11/30/2020,7.7975,9.2988
12/1/2020,7.7892,9.3306
12/2/2020,7.8412,9.3868
12/3/2020,7.808,9.4134
12/4/2020,7.8472,9.5106
12/5/2020,7.8472,9.5106
12/6/2020,7.8472,9.5106
12/7/2020,7.7796,9.4625
12/8/2020,7.8373,9.4913
12/9/2020,7.8087,9.462
12/10/2020,7.8203,9.484
12/11/2020,7.8499,9.4932
12/12/2020,7.8499,9.4932
12/13/2020,7.8499,9.4932
12/14/2020,7.9349,9.6241
12/15/2020,7.8699,9.5624
12/16/2020,7.8331,9.5184
12/17/2020,7.7873,9.4908
12/18/2020,7.751,9.4817
12/19/2020,7.751,9.4817
12/20/2020,7.751,9.4817
12/21/2020,7.6898,9.423
12/22/2020,7.6769,9.3504
12/23/2020,7.6368,9.3347
12/24/2020,7.6321,9.303
12/25/2020,7.619,9.2948
12/26/2020,7.619,9.2948
12/27/2020,7.619,9.2948
12/28/2020,7.5517,9.2037
12/29/2020,7.4738,9.137
12/30/2020,7.4063,9.0697
12/31/2020,7.3405,9.0079
